bohemian rhapsody,queen,rock,354
shape of you,ed sheeran,pop,233
blinding lights,the weeknd,synthwave,200
hotel california,eagles,classic rock,391
smells like teen spirit,nirvana,grunge,301
imagine,john lennon,soft rock,183
someone like you,adele,soul,285
rolling in the deep,adele,soul,228
stay,the kid laroi,pop,141
peaches,justin bieber,pop,198
levitating,dua lipa,nu-disco,203
bad guy,billie eilish,electropop,194
happier,marshmello,electronic,214
wake me up,avicii,dance,247
counting stars,onerepublic,pop rock,257
all of me,john legend,r&b,269
perfect,ed sheeran,pop,263
thinking out loud,ed sheeran,blue-eyed soul,281
uptown funk,mark ronson,funk,270
happy,pharrell williams,soul,233
lose yourself,eminem,hip hop,326
godzilla,eminem,hip hop,210
mockingbird,eminem,hip hop,250
rap god,eminem,hip hop,364
sicko mode,travis scott,hip hop,312
humble,kendrick lamar,hip hop,177
dna,kendrick lamar,hip hop,185
circles,post malone,pop rock,215
rockstar,post malone,hip hop,218
sunflower,post malone,pop,158
better now,post malone,pop,231
thunder,imagine dragons,electropop,187
believer,imagine dragons,pop rock,204
radioactive,imagine dragons,electronic rock,186
enemy,imagine dragons,pop rock,173
yellow,coldplay,alt rock,266
fix you,coldplay,alt rock,295
the scientist,coldplay,alt rock,309
viva la vida,coldplay,baroque pop,242
adventure of a lifetime,coldplay,disco,264
numb,linkin park,nu metal,187
in the end,linkin park,nu metal,216
crawling,linkin park,nu metal,209
faint,linkin park,nu metal,162
one step closer,linkin park,nu metal,157
sweet child o mine,guns n roses,hard rock,356
november rain,guns n roses,hard rock,537
paradise city,guns n roses,hard rock,406
back in black,ac/dc,hard rock,255
thunderstruck,ac/dc,hard rock,292
highway to hell,ac/dc,hard rock,208
enter sandman,metallica,heavy metal,331
nothing else matters,metallica,heavy metal,388
master of puppets,metallica,heavy metal,515
stairway to heaven,led zeppelin,prog rock,482
black dog,led zeppelin,hard rock,296
kashmir,led zeppelin,prog rock,512
dream on,aerosmith,hard rock,268
walk this way,aerosmith,hard rock,220
crazy,aerosmith,blues rock,316
creep,radiohead,alt rock,238
karma police,radiohead,alt rock,261
no surprises,radiohead,alt rock,228
seven nation army,the white stripes,garage rock,231
hells bells,ac/dc,hard rock,312
under the bridge,red hot chili peppers,alt rock,264
californication,red hot chili peppers,alt rock,321
otherside,red hot chili peppers,alt rock,255
by the way,red hot chili peppers,funk rock,217
sultans of swing,dire straits,roots rock,348
every breath you take,the police,new wave,253
roxanne,the police,reggae rock,192
message in a bottle,the police,new wave,291
billie jean,michael jackson,pop,294
thriller,michael jackson,pop,357
beat it,michael jackson,pop,258
smooth criminal,michael jackson,pop,257
purple rain,prince,pop,520
kiss,prince,funk,226
when doves cry,prince,pop,352
like a prayer,madonna,pop,341
vogue,madonna,house,289
material girl,madonna,synthpop,240
toxic,britney spears,dance pop,198
baby one more time,britney spears,teen pop,210
oops i did it again,britney spears,teen pop,211
firework,katy perry,pop,227
roar,katy perry,pop,223
dark horse,katy perry,trap,215
bad romance,lady gaga,dance pop,294
poker face,lady gaga,synthpop,237
shallow,lady gaga,country pop,215
just dance,lady gaga,electropop,241
drivers license,olivia rodrigo,bedroom pop,242
good 4 u,olivia rodrigo,pop punk,178
vampire,olivia rodrigo,pop,219
heat waves,glass animals,indie pop,238
as it was,harry styles,synthpop,167
watermelon sugar,harry styles,pop,174
adore you,harry styles,pop,207
